article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000792,andy,2020-08-31,yes,,yes,,yes,,6,3,10.5285/0ceb4f85-0bbf-49f0-ab70-cfc137ab7d4d,yes,,https://catalogue.ceh.ac.uk/documents/0ceb4f85-0bbf-49f0-ab70-cfc137ab7d4d,yes,,UK Centre for Ecology & Hydrology,yes,,other,Account required to access data,"DOIs only, not URLs; account required to access data"
a000792,andy,2020-08-31,yes,,yes,,yes,,6,4,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0,yes,,https://catalogue.ceh.ac.uk/documents/f52f012d-9f2e-42cc-b628-9cdea4fa3ba0,yes,,UK Centre for Ecology & Hydrology,yes,,other,Account required to access data,"DOIs only, not URLs; account required to access data"
a000792,andy,2020-08-31,yes,,yes,,yes,,6,5,10.5285/f6cac471-7d92-4e6d-be8a-9f7887143058,yes,,https://catalogue.ceh.ac.uk/documents/f6cac471-7d92-4e6d-be8a-9f7887143058,yes,,UK Centre for Ecology & Hydrology,yes,,other,Account required to access data,"DOIs only, not URLs; account required to access data"
a000792,andy,2020-08-31,yes,,yes,,yes,,6,6,10.5285/3b90962e-6fc8-4251-853e-b9683e37f790,yes,,https://catalogue.ceh.ac.uk/documents/3b90962e-6fc8-4251-853e-b9683e37f790,yes,,UK Centre for Ecology & Hydrology,yes,,other,Account required to access data,"DOIs only, not URLs; account required to access data"
a000829,andy,2020-08-31,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/SNLKUE,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SNLKUE,yes,,Harvard Dataverse,yes,,yes,,No issues
a000839,andy,2020-08-31,yes,,no,,no,,,,,,,,,,,,,,,Theoretical paper
a000898,andy,2020-08-31,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5284/1027216,yes,,https://archaeologydataservice.ac.uk/archives/view/austarch_na_2014/,yes,,Archaeology Data Service,yes,,yes,,No issues
a000933,andy,2020-08-31,yes,,yes,,yes,,1,1,https://doi.org/10.5683/SP/OQDRJG,yes,,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=doi:10.5683/SP/OQDRJG,yes,,Scholars Portal Dataverse,yes,,other,Account required to access data,Account required to access data
a000951,andy,2020-08-31,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5284/1034389,yes,,https://archaeologydataservice.ac.uk/archives/view/cottamb_2015/,yes,,Archaeology Data Service,yes,,yes,,No issues
a000959,andy,2020-08-31,yes,,yes,,yes,,1,1,https://doi.org/10.5281/zenodo.1184869,yes,,https://zenodo.org/record/1184869#.X00I6dMvPOQ,yes,,Zenodo,yes,,yes,,No issues
